+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.6685   |
| epoch 2  |   0.5275   |
| epoch 3  |   0.4358   |
| epoch 4  |   0.3802   |
| epoch 5  |   0.3422   |
| epoch 6  |   0.3145   |
| epoch 7  |   0.2907   |
| epoch 8  |   0.2725   |
| epoch 9  |   0.2579   |
| epoch 10 |   0.2439   |
| epoch 11 |   0.2312   |
| epoch 12 |   0.2215   |
| epoch 13 |   0.2137   |
| epoch 14 |   0.2035   |
| epoch 15 |   0.1960   |
| epoch 16 |   0.1895   |
| epoch 17 |   0.1827   |
| epoch 18 |   0.1764   |
| epoch 19 |   0.1706   |
| epoch 20 |   0.1658   |
| epoch 21 |   0.1594   |
| epoch 22 |   0.1550   |
| epoch 23 |   0.1505   |
| epoch 24 |   0.1463   |
| epoch 25 |   0.1423   |
| epoch 26 |   0.1387   |
| epoch 27 |   0.1340   |
| epoch 28 |   0.1306   |
| epoch 29 |   0.1270   |
| epoch 30 |   0.1237   |
| epoch 31 |   0.1215   |
| epoch 32 |   0.1192   |
| epoch 33 |   0.1175   |
| epoch 34 |   0.1122   |
| epoch 35 |   0.1119   |
| epoch 36 |   0.1094   |
| epoch 37 |   0.1061   |
| epoch 38 |   0.1042   |
| epoch 39 |   0.1007   |
| epoch 40 |   0.1005   |
+----------+------------+
